,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id ,RT,Hashtag,Clean Tweets,Subjectivity Score,Polarity Score,Analysis
0,"RT @ryanw2345: City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",swiffyc,SwiffyC,,208,853,6,14901,2021-03-03 23:59:59,1367263516009324544,Retweet,False," City 27 games 65 points 
Unreal , best ever , what a team, relentless, Peps a genius , 
(No Fans) all season 
Liverpool 27 g…",0.3,1.0,Positive
1,@G_Gel8 @TheBadManTips You’re ignoring the other two though. Ok. How about... https://t.co/VKeaWcGW5y,FootieRealist,Football Realist,Here,69,291,2,524,2021-03-03 23:59:56,1367263503212494853,Tweet,False,  You’re ignoring the other two though. Ok. How about... ,0.375,-0.125,Negative
2,RT @fcDavee: Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33) https://t.co/r2…,PrimeSadio,AA,,4580,1317,10,53216,2021-03-03 23:59:42,1367263445842882568,Retweet,False, Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33) ,0.4861111111111111,0.25,Positive
3,"RT @LDNFootbalI: With a win over Liverpool, Chelsea will go...

• 3 points behind Leicester (3rd)
• 4 points behind Manchester United (2nd)…",CFCTaron,Taron Sachdeva,"London, England",188,290,0,14902,2021-03-03 23:59:34,1367263413475418115,Retweet,False," With a win over Liverpool, Chelsea will go...

• 3 points behind Leicester (3rd)
• 4 points behind Manchester United (2nd)…",0.45,0.0,Neutral
4,"RT @StevenW69808657: So Joanne Anderson, one of Keiths two scabs running to be Labour candidate for Mayor of Liverpool, worked at the Crown…",neemo2357,Neemo,United Kingdom,1771,2384,32,136062,2021-03-03 23:59:32,1367263401525846021,Retweet,False," So Joanne Anderson, one of Keiths two scabs running to be Labour candidate for Mayor of Liverpool, worked at the Crown…",0.0,0.0,Neutral
5,"RT @youneshh: Leicester drew. Aston Villa lost. United drew. 

@ChelseaFC no Charity FC tomorrow please! Destroy Liverpool 💪🏻",ats3omiAnaanu,Ananse🕷️🕸️,"Accra, Ghana",10596,7608,2,156985,2021-03-03 23:59:25,1367263373298200577,Retweet,False," Leicester drew. Aston Villa lost. United drew. 

 no Charity FC tomorrow please! Destroy Liverpool 💪🏻",0.0,-0.2,Negative
6,RT @SkySports: Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,simonpeterk7,simonpeterksebunya,Kampala,401,344,2,58761,2021-03-03 23:59:23,1367263365563826178,Retweet,False, Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,0.0,0.0,Neutral
7,"RT @LDNFootbalI: With a win over Liverpool, Chelsea will go...

• 3 points behind Leicester (3rd)
• 4 points behind Manchester United (2nd)…",KobbySaves,#NODISS,Ghana,632,1342,0,14444,2021-03-03 23:59:18,1367263344307163140,Retweet,False," With a win over Liverpool, Chelsea will go...

• 3 points behind Leicester (3rd)
• 4 points behind Manchester United (2nd)…",0.45,0.0,Neutral
8,RT @brfootball: Liverpool vs. Chelsea is always wild 💥 https://t.co/hpRKUXAQAQ,MubeenJr_10,Asher Beem,All Around The world!,24,24,0,120,2021-03-03 23:59:17,1367263339462721540,Retweet,False, Liverpool vs. Chelsea is always wild 💥 ,0.4,0.1,Positive
9,"RT @SoccerAM: Who is the better side?⭐

🔁 RT for Man City this season
❤️ FAV for Liverpool last season https://t.co/QMVliwiF6g",LaminSa81719767,Lamin Sanneh,,263,4027,0,8263,2021-03-03 23:59:10,1367263310857535488,Retweet,False," Who is the better side?⭐

🔁 for Man City this season
❤️ FAV for Liverpool last season ",0.2833333333333333,0.25,Positive
10,RT @wwfcjack5: Jota hates scousers 🤔🤔🤔 #LFC #Liverpool #LiverpoolFC https://t.co/cfMY6evMfX,LFC_bot_v1,LFC_bot,,922,108,7,23642,2021-03-03 23:59:06,1367263292880748549,Retweet,True, Jota hates scousers 🤔🤔🤔 LFC Liverpool LiverpoolFC ,0.0,0.0,Neutral
11,"RT @Roy_Evo: Devastated to lose such a good friend today. Ian St John one of Liverpool’s greatest players,star of his time and a great man.…",Simonshield,Simon,,4,9,0,76,2021-03-03 23:59:05,1367263287977639937,Retweet,False," Devastated to lose such a good friend today. Ian St John one of Liverpool’s greatest players,star of his time and a great man.…",0.7125,0.625,Positive
12,"RT @Rohandinho_: Rakitic been through 0-3 Roma, 0-4 Liverpool, and 0-3 Barca 😂😂",machone_mizzle,mizzle machone,"İstanbul, Türkiye",193,956,1,15968,2021-03-03 23:59:03,1367263283498074113,Retweet,False,"_ Rakitic been through 0-3 Roma, 0-4 Liverpool, and 0-3 Barca 😂😂",0.0,0.0,Neutral
13,"RT @LDNFootbalI: 🚨 Leicester draw with Burnley.

Chelsea could now go just 3 points behind them (3rd) with a win over Liverpool at Anfield.…",babajide777,babajide,"Toronto, Ontario",1835,1569,8,3240,2021-03-03 23:59:02,1367263278578233346,Retweet,False," 🚨 Leicester draw with Burnley.

Chelsea could now go just 3 points behind them (3rd) with a win over Liverpool at Anfield.…",0.3666666666666667,0.13333333333333333,Positive
14,RT @brfootball: Liverpool vs. Chelsea is always wild 💥 https://t.co/hpRKUXAQAQ,MaintainAyomide,haryör_gifted,"oyo, Nigeria",569,588,1,75795,2021-03-03 23:59:02,1367263276669820929,Retweet,False, Liverpool vs. Chelsea is always wild 💥 ,0.4,0.1,Positive
15,RT @wwfcjack5: Jota hates scousers 🤔🤔🤔 #LFC #Liverpool #LiverpoolFC https://t.co/cfMY6evMfX,Darrgrady_,Grady🐺,Roscommon,352,1245,1,109889,2021-03-03 23:59:00,1367263270533496848,Retweet,True, Jota hates scousers 🤔🤔🤔 LFC Liverpool LiverpoolFC ,0.0,0.0,Neutral
16,"2nd in the league. Tottenham on 39pts, Liverpool on 42 in 6th and west ham in 4th on 45.

But yet Ole Out is trendi… https://t.co/0AY6kahTOm",BigBurt181,TheAngryGingerGamer,manchester England,65,387,1,3310,2021-03-03 23:58:58,1367263259632553986,Tweet,False,"2nd in the league. Tottenham on 39pts, Liverpool on 42 in 6th and west ham in 4th on 45.

But yet Ole Out is trendi… ",0.0,0.0,Neutral
17,RT @SkySports: Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,red_devils_14,علي باسل عبدالنبي,United Kingdom,978,1039,44,50273,2021-03-03 23:58:56,1367263250551824387,Retweet,False, Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,0.0,0.0,Neutral
18,"RT @ros49: So, Labour has successfully shortlisted two Corbyn critics for Liverpool Mayor. (Cllr. Anderson worked p-t for the CPS during St…",sharpeleven,Mountain,,4389,2608,116,61616,2021-03-03 23:58:55,1367263246978330634,Retweet,False," So, Labour has successfully shortlisted two Corbyn critics for Liverpool Mayor. (Cllr. Anderson worked p-t for the CPS during St…",0.95,0.75,Positive
19,RT @deeksj: @AdamJRuby Not quite as safe as that makes it sound.  Lateral flow tests miss cases - Liverpool they missed 60% of all detectab…,nb87120292,nb,,570,511,0,49846,2021-03-03 23:58:55,1367263246466572290,Retweet,False,  Not quite as safe as that makes it sound.  Lateral flow tests miss cases - Liverpool they missed 60% of all detectab…,0.45,0.45,Positive
20,"RT @FreddysNewN2_: Is Pep Guardiola a great manager? Yes of course. But he'd never accept a challenge like Klopp did at Liverpool, or like…",OfficiallyEzaad,ezaaddollah,,221,219,0,40343,2021-03-03 23:58:52,1367263234525302788,Retweet,False,"_ Is Pep Guardiola a great manager? Yes of course. But he'd never accept a challenge like Klopp did at Liverpool, or like…",0.75,0.8,Positive
21,Imagine we had won at man utd and win at Liverpool we'd be second 😭😭,CfcEisa,CFCEisa,,65,124,0,6090,2021-03-03 23:58:51,1367263230930878467,Tweet,False,Imagine we had won at man utd and win at Liverpool we'd be second 😭😭,0.2,0.4,Positive
22,RT @AndyMitten: My uncle Charlie wanted to sign Motherwell striker Ian St John when he managed Newcastle United. Thought he had a gem. IST…,LoveACorner,#BruceOut 🥬,,398,2195,4,845,2021-03-03 23:58:48,1367263217098125321,Retweet,False, My uncle Charlie wanted to sign Motherwell striker Ian St John when he managed Newcastle United. Thought he had a gem. IST…,0.0,0.0,Neutral
23,RT @brfootball: Liverpool vs. Chelsea is always wild 💥 https://t.co/hpRKUXAQAQ,gideolaofficial,Young Blood 😈,,285,455,0,27119,2021-03-03 23:58:47,1367263213449060353,Retweet,False, Liverpool vs. Chelsea is always wild 💥 ,0.4,0.1,Positive
24,"@OzilThings @dshanahan930 Lmao how’d you get into his heart?😭

Dude literally said Liverpool is all he has!",SavaGeCoMeUP2k,SavaGe CoMe UP II,,1528,3059,1,392695,2021-03-03 23:58:45,1367263205244997635,Tweet,False,"  Lmao how’d you get into his heart?😭

Dude literally said Liverpool is all he has!",1.0,0.75,Positive
25,"RT @AdoptionsUk: Please retweet to help Tilly find a home #Liverpool🇬🇧

American Bulldog aged 8+, housetrained, wants to be the only pet bu…",grantha23512637,grant harris,"London, England",205,254,0,13937,2021-03-03 23:58:44,1367263200530599940,Retweet,True," Please retweet to help Tilly find a home Liverpool🇬🇧

American Bulldog aged 8+, housetrained, wants to be the only pet bu…",0.375,0.025,Positive
26,"@Cruijffnique Liverpool is in Mercia, had Leipzig been playing Winchester City I think they’d have got that waiver.",Chris78Williams,Chris Williams,UK & Germany ,37226,3544,411,13981,2021-03-03 23:58:42,1367263194826342405,Tweet,False," Liverpool is in Mercia, had Leipzig been playing Winchester City I think they’d have got that waiver.",0.0,0.0,Neutral
27,RT @SkySports: Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,RedgmanNyc,RedGman NYC,"New York, NY",2279,5001,112,46156,2021-03-03 23:58:41,1367263188274847747,Retweet,False, Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,0.0,0.0,Neutral
28,RT @SkySports: Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,nackademus,sweet one,,448,501,1,174,2021-03-03 23:58:40,1367263183333978118,Retweet,False, Liverpool boss Jurgen Klopp says clubs agree players should not be released to play in international matches this month if t…,0.0,0.0,Neutral
29,RT @cjhunter90: Little Liverpool fan singing his heart out ❤️ @LFC @MoSalah #YNWA https://t.co/qPIRKmHxJS,MelvynWilson,You’ll never walk alone,Liverpool uk,4601,5026,7,16998,2021-03-03 23:58:38,1367263178556657666,Retweet,True, Little Liverpool fan singing his heart out ❤️   YNWA ,0.5,-0.1875,Negative
30,"RT @goal: 2nd place Manchester United and 3rd place Leicester City both drop points in the Premier League 👀

Liverpool vs Chelsea is BIG 🍿…",themuhdfarhan,Muhammad Farhan 🇲🇾,,525,708,21,1166,2021-03-03 23:58:35,1367263163020800002,Retweet,False," 2nd place Manchester United and 3rd place Leicester City both drop points in the Premier League 👀

Liverpool vs Chelsea is BIG 🍿…",0.03333333333333333,0.0,Neutral
31,Child killer admits he lied. Man found stabbed in the stomach. Woman attacked and mugged. Police want to track down… https://t.co/Schfz3ZCLv,starandsixpence,Elijah Traven,,1624,5004,39,8707,2021-03-03 23:58:32,1367263152547766283,Tweet,False,Child killer admits he lied. Man found stabbed in the stomach. Woman attacked and mugged. Police want to track down… ,0.0,0.0,Neutral
32,@diegoapodaca_ @lifinnn de liverpool,guillermocvidal,Guillermocvidal,,126,97,0,600,2021-03-03 23:58:31,1367263146650574848,Tweet,False,_  de liverpool,0.0,0.0,Neutral
