,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
0,"RT @JNCHARTS: [210121] JENNIE | INSTAGRAM

Most followed female K-pop Act on Instagram in the last 24 hours:

#1 JENNIE (+93,556) | 38,426,",punkishbIack,`,she/her,28,264,0,14252,Fri Jan 22 06:41:49 +0000 2021,1352506736859484161,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"[210121] JENNIE | INSTAGRAM

Most followed female K-pop Act on Instagram in the last 24 hours:

#1 JENNIE (+93,556) | 38,426,213

 https://t.co/R2rQpzvOIz

#JENNIE # 
#BLACKPINK @BLACKPINK https://t.co/CDssO64pxR",True,JNCHARTS,JENNIE CHARTS,,20506.0,35.0,204.0,1458.0,Thu Jan 21 16:41:35 +0000 2021,1.3522952849366098e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,9.0,0.0,174.0,537.0
1,"OMG! I cant wait!  I have a class on that day but who cares!  Blackpink is Life especially JENNIE!  @BLACKPINK 
#THESHOW_BLACKPINK #BLACKPINK #THESHOW https://t.co/6W6ATyMOx7",BehindThePinks,both no?,,41,143,0,3211,Fri Jan 22 06:41:48 +0000 2021,1352506736481996801,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
2,"RT @daveypinks: WTF? SHE LOOK HELLA HOT WITH THAT RED LIPSTICK ON, OH MY GOD!!  @BLACKPINK #JISOO https://t.co/xHmqgncXqH",yunhoesmadz,21:59,BLACKPINK's World,232,985,1,86535,Fri Jan 22 06:41:49 +0000 2021,1352506738189115395,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"WTF? SHE LOOK HELLA HOT WITH THAT RED LIPSTICK ON, OH MY GOD!!  @BLACKPINK #JISOO https://t.co/xHmqgncXqH",True,daveypinks,,pinks,39174.0,553.0,133.0,16051.0,Fri Jan 22 05:51:04 +0000 2021,1.3524939659419853e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,54.0,9.0,1057.0,2851.0
3,RT @_mandeukie: what's stopping you both from having a dance collab???? @blackpink @jypetwice https://t.co/Vy1jEmo02q,DarkPizza_21,; Kya - MY BIRTHDAY,,153,390,0,38312,Fri Jan 22 06:41:49 +0000 2021,1352506738885451776,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,what's stopping you both from having a dance collab???? @blackpink @jypetwice https://t.co/Vy1jEmo02q,True,_mandeukie,des,s/her || EXO's,2273.0,864.0,31.0,93901.0,Thu Jan 21 15:25:32 +0000 2021,1.352276148810498e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,5.0,1.0,29.0,141.0
4,"RT @translatebp:  News @BLACKPINK #ROS

Even Saint Laurent was surprised 'Ros effect'...How great was that?

Thanks to global ambassador",fatlalalaleo, #sw,JENCHULICHEANG,95,513,0,20159,Fri Jan 22 06:41:49 +0000 2021,1352506739157917697,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0," News @BLACKPINK #ROS

Even Saint Laurent was surprised 'Ros effect'...How great was that?

Thanks to global ambassador Ros, the 2021 Summer Women's Brand Fashion Show video released by Saint Laurent has exceeded 100 million views...

https://t.co/fStdzy182y https://t.co/4GwX2yrYGA",True,translatebp,beonyeok,any pronouns,1504.0,34.0,16.0,62.0,Fri Jan 22 06:08:54 +0000 2021,1.3524984561667686e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2.0,6.0,36.0,82.0
5,RT @LEGENDHARMONY: yge gave the name baby monster to their new gg cause blackpink didnt want it LMAOOOOO  https://t.co/9RnbhSHFrr,CrewofBPQueens,Yel,,255,368,1,67700,Fri Jan 22 06:41:49 +0000 2021,1352506739753512962,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,yge gave the name baby monster to their new gg cause blackpink didnt want it LMAOOOOO  https://t.co/9RnbhSHFrr,True,LEGENDHARMONY,kayla ,ot4,12321.0,4936.0,26.0,21341.0,Fri Jan 22 05:10:17 +0000 2021,1.3524837045815992e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,92.0,12.0,140.0,644.0
6,"RT @BLACKPINK: AttentionPLUSmembers 
#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SHOW! 

Jo",torithorthor,yak,,85,275,1,4150,Fri Jan 22 06:41:49 +0000 2021,1352506739900354561,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"AttentionPLUSmembers 
#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SHOW! 

Join PLUS membership now to enjoy 
 https://t.co/Zos677QAe4

# #PALMSTAGE #THESHOW #LIVESTREAMCONCERT #YOUTUBEMUSIC #YOUTUBE #YG https://t.co/EcyIInmJwe",True,BLACKPINK,BLACKPINKOFFICIAL,,3094746.0,0.0,4178.0,0.0,Fri Jan 22 05:00:00 +0000 2021,1.3524811150770258e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,1853.0,1344.0,9133.0,32170.0
7,"RT @ygent_official: Attention PLUS members 

#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SH",ChaengLaurent02,Chaeyoungeee021197,,608,887,0,49349,Fri Jan 22 06:41:50 +0000 2021,1352506744816066562,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Attention PLUS members 

#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SHOW! 

Join PLUS membership now to enjoy 
 https://t.co/5b29ihdN9W

# #PALMSTAGE #THESHOW #LIVESTREAMCONCERT #YOUTUBEMUSIC #YOUTUBE #YG https://t.co/Dkkjcvewvj",True,ygent_official,YG FAMILY,"Seoul, Korea",7213250.0,38.0,7550.0,0.0,Fri Jan 22 05:00:13 +0000 2021,1.3524811689569034e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,294.0,768.0,3442.0,16602.0
8,RT @cyanblink: JISOO X DIOR FOR W KOREA. SHE'S SO STUNNING!  @BLACKPINK #JISOO https://t.co/YQSrd1ngy8,yunhoesmadz,21:59,BLACKPINK's World,232,985,1,86536,Fri Jan 22 06:41:51 +0000 2021,1352506745025777664,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,JISOO X DIOR FOR W KOREA. SHE'S SO STUNNING!  @BLACKPINK #JISOO https://t.co/YQSrd1ngy8,True,cyanblink,,,67567.0,123.0,214.0,10967.0,Fri Jan 22 05:55:50 +0000 2021,1.352495168545579e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,20.0,4.0,562.0,1808.0
9,"RT @BLACKPINK: AttentionPLUSmembers 
#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SHOW! 

Jo",tirekkecil, qq (-),lagi ngerantau,4967,4573,10,35136,Fri Jan 22 06:41:51 +0000 2021,1352506745386491904,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"AttentionPLUSmembers 
#BLACKPINK is going to share a glimpse of their SOUND CHECK rehearsal one day before THE SHOW! 

Join PLUS membership now to enjoy 
 https://t.co/Zos677QAe4

# #PALMSTAGE #THESHOW #LIVESTREAMCONCERT #YOUTUBEMUSIC #YOUTUBE #YG https://t.co/EcyIInmJwe",True,BLACKPINK,BLACKPINKOFFICIAL,,3094746.0,0.0,4178.0,0.0,Fri Jan 22 05:00:00 +0000 2021,1.3524811150770258e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,1853.0,1344.0,9134.0,32172.0
